dataset,batch_size,seed_size,acq_name,clf,rep,trial_idx,iter_idx,train_size,score,init,ts
agnews,500,500,dal,BERT,BERT,2,-1,500,0.900478539161246,init_random,2024-03-14 07:09:29.526061
agnews,500,500,dal,BERT,BERT,2,0,1000,0.9099744846722474,init_random,2024-03-14 07:26:00.265093
agnews,500,500,dal,BERT,BERT,2,1,1500,0.9187975960210166,init_random,2024-03-14 07:48:02.693088
agnews,500,500,dal,BERT,BERT,2,2,2000,0.9216369591313984,init_random,2024-03-14 08:13:47.851687
agnews,500,500,dal,BERT,BERT,2,3,2500,0.9208130536403344,init_random,2024-03-14 08:43:19.580354
agnews,500,500,dal,BERT,BERT,2,4,3000,0.9218924746561308,init_random,2024-03-14 09:23:13.652355
agnews,500,500,dal,BERT,BERT,2,5,3500,0.9244893012494296,init_random,2024-03-14 10:09:04.619058
agnews,500,500,dal,BERT,BERT,2,6,4000,0.9311987133261392,init_random,2024-03-14 11:00:21.302638
agnews,500,500,dal,BERT,BERT,2,7,4500,0.9254410319509804,init_random,2024-03-14 12:00:55.737081
agnews,500,500,dal,BERT,BERT,2,8,5000,0.9271592186667744,init_random,2024-03-14 12:58:29.630563
agnews,500,500,margin,BERT,BERT,0,-1,500,0.8860149142328639,init_random,2024-03-09 15:16:08.201527
agnews,500,500,margin,BERT,BERT,0,0,1000,0.913710868112367,init_random,2024-03-09 15:31:56.515075
agnews,500,500,margin,BERT,BERT,0,1,1500,0.9139738186091206,init_random,2024-03-09 15:51:57.477310
agnews,500,500,margin,BERT,BERT,0,2,2000,0.919285986764774,init_random,2024-03-09 16:50:31.278156
agnews,500,500,margin,BERT,BERT,0,3,2500,0.9204388413541038,init_random,2024-03-09 17:20:26.771002
agnews,500,500,margin,BERT,BERT,0,4,3000,0.9289625369097656,init_random,2024-03-09 17:54:06.153331
agnews,500,500,margin,BERT,BERT,0,5,3500,0.932764804456394,init_random,2024-03-09 18:30:08.523757
