dataset,clf,rep,acq_name,iter_idx,train_size,avg_score,stdev
agnews,BERT,BERT,cal,-1,500,0.8892391296501615,0.010024051765031764
agnews,BERT,BERT,cal,0,1000,0.9078633437463007,0.0036903065144378053
agnews,BERT,BERT,cal,1,1500,0.9166048032329565,0.0025456850553805563
agnews,BERT,BERT,cal,2,2000,0.9182517935526601,0.004038858293609351
agnews,BERT,BERT,cal,3,2500,0.9254143787757902,0.0027490899764814605
agnews,BERT,BERT,cal,4,3000,0.9332203801584024,0.004020617890758052
agnews,BERT,BERT,cal,5,3500,0.9286683209242294,0.0028497672222209127
agnews,BERT,BERT,cal,6,4000,0.9322963794527538,0.003254810933991851
agnews,BERT,BERT,cal,7,4500,0.9351099670122759,0.002371693909182014
agnews,BERT,BERT,cal,8,5000,0.9354680270566368,0.0008808590302646465
agnews,BERT,BERT,dal,-1,500,0.8892391296501615,0.010024051765031764
agnews,BERT,BERT,dal,0,1000,0.9113253814521092,0.0016205548405883534
agnews,BERT,BERT,dal,1,1500,0.9127565991586871,0.010172457929794475
agnews,BERT,BERT,dal,2,2000,0.9164148770659842,0.005304808048343326
agnews,BERT,BERT,dal,3,2500,0.9213206755629063,0.002037355288342302
agnews,BERT,BERT,dal,4,3000,0.9211343962392163,0.0017374770574560806
agnews,BERT,BERT,dal,5,3500,0.9250413999281508,0.002328597320173331
agnews,BERT,BERT,dal,6,4000,0.9268307737630012,0.004079671709447045
agnews,BERT,BERT,dal,7,4500,0.9269904079432539,0.003403601641585565
agnews,BERT,BERT,dal,8,5000,0.929463645643681,0.00210938287809095
agnews,BERT,BERT,margin,-1,500,0.8892391296501615,0.010024051765031764
agnews,BERT,BERT,margin,0,1000,0.9123064178589844,0.002254234832838572
agnews,BERT,BERT,margin,1,1500,0.916761570837722,0.0030507402386954867
agnews,BERT,BERT,margin,2,2000,0.9188490063163451,0.0022133480502640464
agnews,BERT,BERT,margin,3,2500,0.9217200732272234,0.002051869960058857
agnews,BERT,BERT,margin,4,3000,0.9275599929840138,0.001241232371321342
agnews,BERT,BERT,margin,5,3500,0.9324206750156074,0.0005129782415163414
agnews,BERT,BERT,margin,6,4000,0.9331767327347182,0.001391178340578484
agnews,BERT,BERT,margin,7,4500,0.9348881932804461,0.0016835124239969238
agnews,BERT,BERT,margin,8,5000,0.9360105574534661,0.0006902768985326462
agnews,BERT,BERT,random,-1,500,0.890722112595037,0.008865374761297161
agnews,BERT,BERT,random,0,1000,0.9007506424258184,0.007584524133295155
agnews,BERT,BERT,random,1,1500,0.9086542239320873,0.0023618425110444796
agnews,BERT,BERT,random,2,2000,0.9055651795000891,0.005102929257041877
agnews,BERT,BERT,random,3,2500,0.9079837117292952,0.00738624115543603
agnews,BERT,BERT,random,4,3000,0.9122227737089658,0.0031361852469938174
agnews,BERT,BERT,random,5,3500,0.9145526933963555,0.0012331207364873337
agnews,BERT,BERT,random,6,4000,0.9117081232837553,0.008526891814342833
agnews,BERT,BERT,random,7,4500,0.9223613326824737,0.0013988755724749801
agnews,BERT,BERT,random,8,5000,0.9105459643090114,0.007743928563092182
agnews,BERT,BERT,real,-1,500,0.8892391296501615,0.010024051765031764
agnews,BERT,BERT,real,0,1000,0.9127532642910303,0.0015384749718750216
agnews,BERT,BERT,real,1,1500,0.9135554949967908,0.0017441989420156972
agnews,BERT,BERT,real,2,2000,0.9188807816629679,0.004497700152317212
agnews,BERT,BERT,real,3,2500,0.9211175473226674,0.003674417965973122
agnews,BERT,BERT,real,4,3000,0.9269164112856004,0.003945851537649169
agnews,BERT,BERT,real,5,3500,0.9316279607897971,0.0018739652270846436
agnews,BERT,BERT,real,6,4000,0.9313874424278946,0.005274622695398411
agnews,BERT,BERT,real,7,4500,0.9340910212232464,0.0009567664887485335
agnews,BERT,BERT,real,8,5000,0.9337134979671697,0.0023978881178109116
agnews,LinearSVC,MPNet,cal,-1,500,0.8701549729288077,0.0034784736610592474
agnews,LinearSVC,MPNet,cal,0,1000,0.8825452179035306,0.010274352910888249
agnews,LinearSVC,MPNet,cal,1,1500,0.8911626879037708,0.007891861319385298
agnews,LinearSVC,MPNet,cal,2,2000,0.8962726691843175,0.0030078772030760394
agnews,LinearSVC,MPNet,cal,3,2500,0.8985598254661018,0.0015769645596977787
agnews,LinearSVC,MPNet,cal,4,3000,0.8967938758849522,0.002539834924130203
agnews,LinearSVC,MPNet,cal,5,3500,0.8995196643086052,0.0025486155409282806
agnews,LinearSVC,MPNet,cal,6,4000,0.9009145568906533,0.0006615540790158042
agnews,LinearSVC,MPNet,cal,7,4500,0.9006536636495662,0.0025110070617347306
agnews,LinearSVC,MPNet,cal,8,5000,0.9028572620422622,0.0020504262052822857
agnews,LinearSVC,MPNet,dal,-1,500,0.8701549729288077,0.0034784736610592474
agnews,LinearSVC,MPNet,dal,0,1000,0.8838351860347422,0.0049482046448751935
agnews,LinearSVC,MPNet,dal,1,1500,0.8923112758005866,0.0012159743040868155
agnews,LinearSVC,MPNet,dal,2,2000,0.8929480629827613,0.0028414705832203895
agnews,LinearSVC,MPNet,dal,3,2500,0.8935366686860137,0.005182796426952067
agnews,LinearSVC,MPNet,dal,4,3000,0.8965524492017632,0.002510317622338278
agnews,LinearSVC,MPNet,dal,5,3500,0.8985150515491602,0.002702225858983265
agnews,LinearSVC,MPNet,dal,6,4000,0.8997643398562639,0.0036592875607118786
agnews,LinearSVC,MPNet,dal,7,4500,0.8987317168836865,0.0016322387331400645
agnews,LinearSVC,MPNet,dal,8,5000,0.9003984479370922,0.0018872745930370548
agnews,LinearSVC,MPNet,margin,-1,500,0.8701549729288077,0.0034784736610592474
agnews,LinearSVC,MPNet,margin,0,1000,0.8824972335099335,0.003093756361919595
agnews,LinearSVC,MPNet,margin,1,1500,0.8988124942547892,0.005282929305192147
agnews,LinearSVC,MPNet,margin,2,2000,0.8949157316258544,0.0032069215002046673
agnews,LinearSVC,MPNet,margin,3,2500,0.8929377620059015,0.008642432483026947
agnews,LinearSVC,MPNet,margin,4,3000,0.900769453216205,0.0028442986142723594
agnews,LinearSVC,MPNet,margin,5,3500,0.900415804333815,0.0038774377028747775
agnews,LinearSVC,MPNet,margin,6,4000,0.9047633602064563,0.0023590397771629367
agnews,LinearSVC,MPNet,margin,7,4500,0.905777649578928,0.0017189010351873267
agnews,LinearSVC,MPNet,margin,8,5000,0.9039512222313381,0.0036451587051706956
agnews,LinearSVC,MPNet,random,-1,500,0.8741118298128129,0.0030980445447805214
agnews,LinearSVC,MPNet,random,0,1000,0.8823735363621926,0.006514600171426346
agnews,LinearSVC,MPNet,random,1,1500,0.8914038211207272,0.003893143169267684
agnews,LinearSVC,MPNet,random,2,2000,0.8951976426329571,0.0024170016981010143
agnews,LinearSVC,MPNet,random,3,2500,0.8965047159068034,0.001008605230528574
agnews,LinearSVC,MPNet,random,4,3000,0.8974259430787105,0.0024413162193898143
agnews,LinearSVC,MPNet,random,5,3500,0.8978378730585564,0.0019022483647706263
agnews,LinearSVC,MPNet,random,6,4000,0.8966170713090623,0.0033117167325279005
agnews,LinearSVC,MPNet,random,7,4500,0.9009641172479547,0.001269920844049006
agnews,LinearSVC,MPNet,random,8,5000,0.8998343533226589,0.0010695665040977088
agnews,LinearSVC,MPNet,real,-1,500,0.8701549729288077,0.0034784736610592474
agnews,LinearSVC,MPNet,real,0,1000,0.872625972551971,0.019405882476967246
agnews,LinearSVC,MPNet,real,1,1500,0.8911559270118836,0.005993205836237357
agnews,LinearSVC,MPNet,real,2,2000,0.8962501493965204,0.002001637583361052
agnews,LinearSVC,MPNet,real,3,2500,0.896840799330734,0.0034278051646735933
agnews,LinearSVC,MPNet,real,4,3000,0.900143463570717,0.002808634756329979
agnews,LinearSVC,MPNet,real,5,3500,0.8982941599809354,0.001001243695708521
agnews,LinearSVC,MPNet,real,6,4000,0.898025826699358,0.002660787627966793
agnews,LinearSVC,MPNet,real,7,4500,0.9055792167610743,0.001184157995834926
agnews,LinearSVC,MPNet,real,8,5000,0.9051758944429413,0.00035977675036794315
agnews,LinearSVC,USE,cal,-1,500,0.8637527319963967,0.011662652737727493
agnews,LinearSVC,USE,cal,0,1000,0.8776889619418945,0.002677150872641795
agnews,LinearSVC,USE,cal,1,1500,0.8762076941132543,0.004759075842584904
agnews,LinearSVC,USE,cal,2,2000,0.880830125055069,0.002837291831399268
agnews,LinearSVC,USE,cal,3,2500,0.8807557089589562,0.0022861141250191197
agnews,LinearSVC,USE,cal,4,3000,0.8843638665574876,0.000664564371746227
agnews,LinearSVC,USE,cal,5,3500,0.8861494352129773,0.0029276390675813386
agnews,LinearSVC,USE,cal,6,4000,0.885831434972769,0.004189643890937755
agnews,LinearSVC,USE,cal,7,4500,0.8853132165539989,0.0019440634299861784
agnews,LinearSVC,USE,cal,8,5000,0.8877665981964098,0.0014481193068643222
agnews,LinearSVC,USE,dal,-1,500,0.8637527319963967,0.011662652737727493
agnews,LinearSVC,USE,dal,0,1000,0.8728812731115694,0.0019187584293794229
agnews,LinearSVC,USE,dal,1,1500,0.8734278486438539,0.0053320155393719315
agnews,LinearSVC,USE,dal,2,2000,0.8773511945226771,0.0031553695357914653
agnews,LinearSVC,USE,dal,3,2500,0.8800192751739759,0.006264124260060643
