dataset,batch_size,seed_size,acq_name,clf,rep,trial_idx,iter_idx,train_size,score,init,ts
agnews,200,200,cal,BERT,BERT,0,-1,200,0.8565033963367281,init_random,2024-03-09 16:28:02.969864
agnews,200,200,cal,BERT,BERT,0,0,400,0.8923851390400531,init_random,2024-03-09 16:54:52.888390
agnews,200,200,cal,BERT,BERT,0,1,600,0.8951251455495768,init_random,2024-03-09 17:11:54.042699
agnews,200,200,cal,BERT,BERT,0,2,800,0.9131046512435596,init_random,2024-03-09 17:29:43.441773
agnews,200,200,cal,BERT,BERT,0,3,1000,0.9146247832501176,init_random,2024-03-09 17:49:27.323044
agnews,200,200,cal,BERT,BERT,0,4,1200,0.9149131188371314,init_random,2024-03-09 18:10:04.880690
agnews,200,200,cal,BERT,BERT,0,5,1400,0.9143028004922849,init_random,2024-03-09 18:31:44.649401
agnews,200,200,cal,BERT,BERT,0,6,1600,0.9187766509066524,init_random,2024-03-09 18:55:18.847920
agnews,200,200,cal,BERT,BERT,0,7,1800,0.9211430620225616,init_random,2024-03-09 19:20:16.820308
agnews,200,200,cal,BERT,BERT,0,8,2000,0.9217240280928904,init_random,2024-03-09 19:46:07.606192
agnews,200,200,cal,BERT,BERT,0,9,2200,0.929404117697787,init_random,2024-03-09 20:14:40.392168
agnews,200,200,cal,BERT,BERT,0,10,2400,0.9275856263021977,init_random,2024-03-09 20:44:12.433678
agnews,200,200,cal,BERT,BERT,0,11,2600,0.930549542290724,init_random,2024-03-09 21:16:14.447726
agnews,200,200,cal,BERT,BERT,0,12,2800,0.9316749665305144,init_random,2024-03-09 21:49:15.569153
agnews,200,200,cal,BERT,BERT,0,13,3000,0.9326335851930868,init_random,2024-03-09 22:23:46.216234
agnews,200,200,cal,BERT,BERT,0,14,3200,0.9336100992744972,init_random,2024-03-09 22:59:25.938899
agnews,200,200,cal,BERT,BERT,0,15,3400,0.9336299385236928,init_random,2024-03-09 23:36:49.085017
agnews,200,200,cal,BERT,BERT,0,16,3600,0.9297040909438852,init_random,2024-03-10 00:27:30.397358
agnews,200,200,cal,BERT,BERT,0,17,3800,0.9326123122486536,init_random,2024-03-10 01:24:15.061414
agnews,200,200,cal,BERT,BERT,0,18,4000,0.9343778898653274,init_random,2024-03-10 03:25:25.046142
agnews,200,200,cal,BERT,BERT,0,19,4200,0.935334314484418,init_random,2024-03-10 04:14:30.730545
agnews,200,200,cal,BERT,BERT,0,20,4400,0.9337072712115172,init_random,2024-03-10 04:59:17.563211
agnews,200,200,cal,BERT,BERT,0,21,4600,0.9321010831282778,init_random,2024-03-10 05:45:50.279736
agnews,200,200,cal,BERT,BERT,0,22,4800,0.928805699834678,init_random,2024-03-10 06:34:29.965721
