dataset,clf,rep,acq_name,iter_idx,train_size,avg_score,stdev
agnews,LinearSVC,MPNet,cal,1,600,0.8648588646594136,0.0038174140869817927
agnews,LinearSVC,MPNet,cal,2,800,0.8776875712866037,0.004314878931544497
agnews,LinearSVC,MPNet,cal,3,1000,0.8847626925476341,0.003143709962079397
agnews,LinearSVC,MPNet,cal,4,1200,0.8896987685996098,0.004437793462458329
agnews,LinearSVC,MPNet,cal,5,1400,0.8912418327770678,0.0008653637460102855
agnews,LinearSVC,MPNet,cal,6,1600,0.8906458194882029,0.0062988225228314595
agnews,LinearSVC,MPNet,cal,7,1800,0.898078808774247,0.0012880642405436826
agnews,LinearSVC,MPNet,cal,8,2000,0.897406982153221,0.003933914638721583
agnews,LinearSVC,MPNet,cal,9,2200,0.892317890934588,0.0032461329294139864
agnews,LinearSVC,MPNet,cal,10,2400,0.8937873365051123,0.0025802536247075654
agnews,LinearSVC,MPNet,cal,11,2600,0.8979192511718983,0.0035470113815081537
agnews,LinearSVC,MPNet,cal,12,2800,0.9005836164428708,0.0017345232771795358
agnews,LinearSVC,MPNet,cal,13,3000,0.9002119188323855,0.0012866211271307148
agnews,LinearSVC,MPNet,cal,14,3200,0.8967275846405866,0.003915508728211147
agnews,LinearSVC,MPNet,cal,15,3400,0.8994251167560519,0.0021610911192394195
agnews,LinearSVC,MPNet,cal,16,3600,0.902087394398967,0.0016317633200648265
agnews,LinearSVC,MPNet,cal,17,3800,0.9009417476531233,0.002961728835190344
agnews,LinearSVC,MPNet,cal,18,4000,0.9006716267720963,0.0037471025221872192
agnews,LinearSVC,MPNet,cal,19,4200,0.9014282080089657,0.0033575871917984695
agnews,LinearSVC,MPNet,cal,20,4400,0.902708747377079,0.002377773690366983
agnews,LinearSVC,MPNet,cal,21,4600,0.9017448342445952,0.0014228396393512763
agnews,LinearSVC,MPNet,cal,22,4800,0.9017481195838325,0.0011401420884286587
agnews,LinearSVC,MPNet,cal,23,5000,0.9029595810744282,0.001830451555305849
agnews,LinearSVC,MPNet,dal,-1,200,0.8314342870936128,0.0027031461251525476
agnews,LinearSVC,MPNet,dal,0,400,0.8584222445296437,0.007359007874627296
agnews,LinearSVC,MPNet,dal,1,600,0.865262087920928,0.007755813923509704
agnews,LinearSVC,MPNet,dal,2,800,0.8767738736883387,0.0056281869303246666
agnews,LinearSVC,MPNet,dal,3,1000,0.8796475535630606,0.00820224702919859
agnews,LinearSVC,MPNet,dal,4,1200,0.88121385265099,0.0066653508947546024
agnews,LinearSVC,MPNet,dal,5,1400,0.8808131599980067,0.005542619402981976
agnews,LinearSVC,MPNet,dal,6,1600,0.8848299181845757,0.00937169020479505
agnews,LinearSVC,MPNet,dal,7,1800,0.8873077201396248,0.005512060456266787
agnews,LinearSVC,MPNet,dal,8,2000,0.8900238499613983,0.003151234486091091
agnews,LinearSVC,MPNet,dal,9,2200,0.8925840669049694,0.0033598295390997283
agnews,LinearSVC,MPNet,dal,10,2400,0.8848845908865223,0.0030536369956657814
agnews,LinearSVC,MPNet,dal,11,2600,0.8893476198988726,0.004466553319268045
agnews,LinearSVC,MPNet,dal,12,2800,0.8923737056407307,0.005166719097980422
agnews,LinearSVC,MPNet,dal,13,3000,0.8933098199906189,0.0034315916787451216
agnews,LinearSVC,MPNet,dal,14,3200,0.8906353055794293,0.004852785287158464
agnews,LinearSVC,MPNet,dal,15,3400,0.8944737814732272,0.002048791173174309
agnews,LinearSVC,MPNet,dal,16,3600,0.8959743462931914,0.001123842003008405
agnews,LinearSVC,MPNet,dal,17,3800,0.8964497858276675,0.0034288888659953034
agnews,LinearSVC,MPNet,dal,18,4000,0.8951692221583348,0.0035064031110330694
